origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
aurora-404sb,aurora-404nb,aurora-rd,404sb-offramp,eastbound,aurora-rd,404nb-offramp,eastbound,0.37,2023-04-17_19:19:52,36,37,1,aurora,whitchurch-stouffville,324,325
aurora-404nb,woodbine-aurora,aurora-rd,404nb-offramp,eastbound,aurora-rd,woodbine-ave,eastbound,0.62,2023-04-17_19:19:52,40,56,3,whitchurch-stouffville,whitchurch-stouffville,325,34
woodbine-aurora,aurora-ramforest,aurora-rd,woodbine-ave,eastbound,aurora-rd,ram-forest-rd,eastbound,0.77,2023-04-17_19:19:52,57,49,2,whitchurch-stouffville,whitchurch-stouffville,34,406
kennedy-aurora,aurora-mccowan,aurora-rd,kennedy-rd,eastbound,aurora-rd,mccowan-rd,eastbound,2.1,2023-04-17_19:19:52,87,87,1,whitchurch-stouffville,whitchurch-stouffville,32,416
aurora-warden,kennedy-aurora,aurora-rd,warden-ave,eastbound,aurora-rd,kennedy-rd,eastbound,2.0,2023-04-17_19:19:52,80,90,1,whitchurch-stouffville,whitchurch-stouffville,33,32
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-17_19:19:52,47,28,6,whitchurch-stouffville,aurora,325,324
aurora-warden,aurora-ramforest,aurora-rd,warden-ave,westbound,aurora-rd,ram-forest-rd,westbound,1.35,2023-04-17_19:19:52,72,68,1,whitchurch-stouffville,whitchurch-stouffville,33,406
aurora-ramforest,woodbine-aurora,aurora-rd,ram-forest-rd,westbound,aurora-rd,woodbine-ave,westbound,0.77,2023-04-17_19:19:52,39,71,1,whitchurch-stouffville,whitchurch-stouffville,406,34
aurora-warden,woodbine-aurora,aurora-rd,warden-ave,westbound,aurora-rd,woodbine-ave,westbound,2.1,2023-04-17_19:19:52,111,68,1,whitchurch-stouffville,whitchurch-stouffville,33,34
bloomington-404nb,woodbine-bloomington,bloomington-rd,404nb-offramp,eastbound,bloomington-rd,woodbine-ave,eastbound,0.35,2023-04-17_19:19:52,29,43,4,whitchurch-stouffville,whitchurch-stouffville,408,138
bloomington-mccowan,bloomington-ninthline,bloomington-rd,mccowan-rd,eastbound,bloomington-rd,ninth-line,eastbound,4.0,2023-04-17_19:19:52,201,72,4,whitchurch-stouffville,whitchurch-stouffville,80,405
bloomington-ninthline,bloomington-yorkdurhamline,bloomington-rd,ninth-line,eastbound,bloomington-rd,york-durham-line,eastbound,2.3,2023-04-17_19:19:52,112,74,5,whitchurch-stouffville,whitchurch-stouffville,405,404
